company_name,job_title,location,salaries,description
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Valassis Digital,Staff Data Scientist,"Morrisville, NC",,"Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
Decision Sciences,Data Scientist,"Poway, CA",,"Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
"PRA Group, Inc.",Data Scientist,"Norfolk, VA",,"Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
Confidential Search Firm,Data Scientist - Machine Learning,"Herndon, VA","$100,000 - $150,000 a year",Cloud (AWS/ Google Cloud) with data science/machine learning emphasis including technology implementations Develop both deployment architecture and scripts for...
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
IBM,Data Scientist Intern/Co-op,United States,,"Data scientists are inquisitive:. A data scientist is effective at deploying an analytics solution, thereby realizing business value.Whereas a traditional data..."
Logistics Management Institute,Junior Data Scientist,"Tysons, VA",,"Preferred experience with data science methods related to data architecture, data munging, data and feature engineering, and predictive analytics;..."
Infinitive Inc,Data Scientist,"Ashburn, VA",,Managing disparate data sources with varying data structures of content and preparing these for data science and machine learning applications....
Bank of America,Data Scientist 1,"Charlotte, NC",,Facility in pulling data from SQL databases and flat files. Take projects from ideation to data analysis to visualization and presentation....
K12,Intern - Data Scientist,"Herndon, VA",,Pursues deep understanding of raw data gathered and a patience for cataloguing and interpreting it with accuracy....
Apple,HID - Data Scientist,"Santa Clara Valley, CA",,"Data Analysis, Machine Learning, Statistics, Data Engineering, Mathematics, Computer Science. You will get to further machine learning research & development by..."
RTI International,Entry Level Data Scientist,"Durham, NC",,"The Center for Data Science at RTI International is seeking an Entry Level Data Scientist with skills in programming, natural language processing, data..."
Apple,Data Scientist,"Santa Clara Valley, CA",,"C++, R, Java, Python, Perl, in addition to Hadoop experience (MapReduce, Hive, Spark SQL), and R, SQL. Design, develop and manage big data-driven predictive..."
AvantStay,Data Scientist,Remote,"$80,000 - $100,000 a year","Currently, we have a position open for a Data Scientist. You’ll be the expert in providing the valuable data insights and reporting to guide their decision..."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
